SGB ID	AverageAbundance	std	q1	MedianAbundance	q3	min	max	# Samples
14022	0.340269488	0.244753518	0.111569783	0.382211404	0.490261508	0.073712913	0.643591832	5
14023	0.517462279	0.251873329	0.33177578	0.490187031	0.685191056	0.226206412	0.869028773	6
14024	0.579439668	0.647246423	0.208115325	0.280797012	0.801442684	0.135433638	1.322088355	3
14025	0.280505405	0.109933782	0.213866181	0.247097719	0.391653682	0.104347424	0.437686066	9
14026	0.290847881	0.219669269	0.11976048	0.247883525	0.409091032	0.034353199	0.986689311	24
14027	0.600678082	1.606643325	0.119179456	0.192147201	0.281214507	0.05042788	6.605452185	16
14029	0.258104902	0.064959585	0.23513822	0.258104902	0.281071583	0.212171539	0.304038265	2
14030	0.102037391		0.102037391	0.102037391	0.102037391	0.102037391	0.102037391	1
14031	0.72808716	0.514340069	0.546240484	0.72808716	0.909933835	0.364393809	1.09178051	2
14032	0.40997341		0.40997341	0.40997341	0.40997341	0.40997341	0.40997341	1
14033	0.195391426	0.010088557	0.191824583	0.195391426	0.19895827	0.188257739	0.202525113	2
14034	0.401715548		0.401715548	0.401715548	0.401715548	0.401715548	0.401715548	1
14035	0.484695028	0.048257798	0.46763332	0.484695028	0.501756736	0.450571612	0.518818444	2
14036	0.194163383		0.194163383	0.194163383	0.194163383	0.194163383	0.194163383	1
14037	0.111172214		0.111172214	0.111172214	0.111172214	0.111172214	0.111172214	1
14038	0.060055075		0.060055075	0.060055075	0.060055075	0.060055075	0.060055075	1
14039	0.125578953		0.125578953	0.125578953	0.125578953	0.125578953	0.125578953	1
14040	18.99491306		18.99491306	18.99491306	18.99491306	18.99491306	18.99491306	1
14041	0.064710005		0.064710005	0.064710005	0.064710005	0.064710005	0.064710005	1
14042	0.392319024	0.379443259	0.191157003	0.248147486	0.420340931	0.022506407	1.49249073	19
14043	0.555778064	0.731157207	0.166430298	0.204662221	0.420935501	0.138379555	1.848482746	5
14044	0.193049143		0.193049143	0.193049143	0.193049143	0.193049143	0.193049143	1
14045	0.093198425		0.093198425	0.093198425	0.093198425	0.093198425	0.093198425	1
14046	0.448349757		0.448349757	0.448349757	0.448349757	0.448349757	0.448349757	1
14047	0.416957156		0.416957156	0.416957156	0.416957156	0.416957156	0.416957156	1
14048	0.187404488	0.103790522	0.150708997	0.187404488	0.224099979	0.114013506	0.260795469	2
14049	0.266385246	0.154977369	0.158957423	0.23828471	0.345712532	0.121314887	0.467656676	4
14050	0.305741244		0.305741244	0.305741244	0.305741244	0.305741244	0.305741244	1
14051	0.228355154		0.228355154	0.228355154	0.228355154	0.228355154	0.228355154	1
14053	0.451956638	0.166720127	0.365794535	0.435240222	0.502473863	0.237849262	0.754070187	7
14054	0.359147942		0.359147942	0.359147942	0.359147942	0.359147942	0.359147942	1
14055	0.143158057	0.131093379	0.067531579	0.072764278	0.183587646	0.06229888	0.294411015	3
